lead_id,contact_id,account_id,campaign_id,status,created_at,mql_date,sql_date,is_converted
LD-66,CON-3056,ACC-5522,CMP-57,SQL,2023-05-28,2023-05-29,2023-06-10,False
LD-67,CON-11949,ACC-1373,CMP-93,Raw,2023-10-24,,,False
LD-68,,ACC-9446,CMP-39,Raw,2023-10-31,,,False
LD-69,CON-1698,ACC-7749,CMP-72,Converted,2023-09-12,2023-09-13,2023-09-20,True
LD-70,,ACC-9370,CMP-7,Raw,2022-12-26,,,False
LD-71,CON-17598,ACC-659,CMP-74,Raw,2022-08-27,,,False
LD-72,,ACC-4501,CMP-1,Raw,2023-02-27,,,False
LD-73,,ACC-4054,CMP-94,Raw,2022-06-22,,,False
LD-74,,ACC-784,CMP-1,Raw,2023-09-12,,,False
LD-75,,ACC-7720,CMP-55,Raw,2023-12-20,,,False
LD-76,CON-8089,ACC-9736,CMP-88,Raw,2022-10-25,,,False
LD-77,,ACC-4151,CMP-68,Raw,2023-12-22,,,False
LD-78,,ACC-988,CMP-0,MQL,2022-07-26,2022-07-30,,False
LD-79,CON-5008,ACC-2091,CMP-27,Raw,2023-09-08,,,False
LD-80,,ACC-8941,CMP-88,MQL,2023-01-24,2023-01-26,,False
LD-81,CON-7558,ACC-9974,CMP-13,Raw,2023-03-24,,,False
LD-82,,ACC-3852,CMP-16,Raw,2023-11-03,,,False
LD-83,,ACC-3567,CMP-79,Raw,2023-11-10,,,False
LD-84,,ACC-2484,CMP-98,MQL,2023-12-28,2024-01-02,,False
LD-85,,ACC-5420,CMP-44,SQL,2023-02-08,2023-02-12,2023-02-13,False
LD-86,,ACC-3356,CMP-65,SQL,2023-02-02,2023-02-06,2023-02-16,False
LD-87,CON-10556,ACC-2250,CMP-20,MQL,2023-10-12,2023-10-15,,False
LD-88,,ACC-4927,CMP-31,Raw,2023-10-27,,,False
LD-89,,ACC-9565,CMP-47,Raw,2023-12-25,,,False
LD-90,CON-2606,ACC-823,CMP-52,Raw,2023-08-14,,,False
LD-91,CON-6751,ACC-3309,CMP-4,Raw,2022-05-19,,,False
LD-92,CON-13400,ACC-3066,CMP-57,Raw,2022-10-05,,,False
LD-93,CON-18039,ACC-7966,CMP-15,Raw,2023-10-04,,,False
LD-94,CON-9410,ACC-1072,CMP-84,Raw,2023-11-03,,,False
LD-95,CON-5097,ACC-4829,CMP-16,Raw,2023-11-25,,,False
LD-96,,ACC-1615,CMP-40,MQL,2023-03-20,2023-03-24,,False
LD-97,,ACC-3418,CMP-89,Raw,2023-04-23,,,False
LD-98,CON-18311,ACC-9821,CMP-58,Raw,2023-11-18,,,False
LD-99,CON-13696,ACC-8097,CMP-64,Raw,2023-09-13,,,False
LD-100,CON-14266,ACC-7721,CMP-79,Raw,2023-11-29,,,False
LD-101,CON-10790,ACC-9766,CMP-28,Raw,2023-08-29,,,False
LD-102,CON-8498,ACC-8056,CMP-23,Converted,2022-05-26,2022-05-27,2022-05-29,True
LD-103,CON-3447,ACC-1830,CMP-5,MQL,2023-10-21,2023-10-24,,False
LD-104,CON-13114,ACC-4379,CMP-3,Raw,2023-03-19,,,False
LD-105,,ACC-2120,CMP-14,Raw,2023-03-25,,,False
LD-106,,ACC-606,CMP-35,Raw,2023-03-07,,,False
LD-107,,ACC-4981,CMP-82,MQL,2023-09-07,2023-09-08,,False
LD-108,CON-10817,ACC-4778,CMP-85,MQL,2022-10-28,2022-11-01,,False
LD-109,CON-5069,ACC-1536,CMP-33,Raw,2023-07-02,,,False
LD-110,,ACC-2560,CMP-26,Raw,2023-02-18,,,False
LD-111,,ACC-7836,CMP-21,Raw,2023-12-22,,,False
LD-112,,ACC-7285,CMP-13,Raw,2023-10-18,,,False
LD-113,,ACC-5207,CMP-21,Raw,2023-09-29,,,False
LD-114,,ACC-3263,CMP-0,Raw,2023-09-28,,,False
LD-115,,ACC-166,CMP-29,Converted,2023-09-10,2023-09-13,2023-09-14,True
LD-116,,ACC-3213,CMP-0,MQL,2022-04-20,2022-04-25,,False
LD-117,,ACC-3668,CMP-39,Raw,2023-07-10,,,False
LD-118,CON-12414,ACC-6957,CMP-25,Raw,2022-08-28,,,False
LD-119,,ACC-6986,CMP-73,Raw,2023-12-05,,,False
LD-120,,ACC-4436,CMP-2,Raw,2023-03-30,,,False
LD-121,CON-4987,ACC-6685,CMP-47,Raw,2023-11-04,,,False
LD-122,,ACC-3798,CMP-6,Raw,2023-09-24,,,False
LD-123,,ACC-4551,CMP-73,MQL,2023-12-27,2023-12-28,,False
LD-124,CON-15848,ACC-1061,CMP-0,Raw,2023-02-19,,,False
LD-125,,ACC-7767,CMP-76,MQL,2022-03-14,2022-03-19,,False
LD-126,,ACC-8575,CMP-77,Raw,2022-12-27,,,False
LD-127,CON-14171,ACC-7435,CMP-74,Raw,2022-11-04,,,False
LD-128,,ACC-3075,CMP-46,MQL,2023-11-07,2023-11-10,,False
LD-129,,ACC-8684,CMP-15,Converted,2022-08-26,2022-08-29,2022-09-06,True
LD-130,,ACC-2456,CMP-84,Raw,2023-12-27,,,False
LD-131,CON-6037,ACC-1707,CMP-47,Raw,2023-12-12,,,False
LD-132,,ACC-3972,CMP-89,Raw,2022-09-14,,,False
LD-133,CON-17059,ACC-5880,CMP-36,Raw,2022-12-23,,,False
LD-134,CON-2621,ACC-3376,CMP-21,Raw,2023-06-23,,,False
LD-135,CON-2576,ACC-2228,CMP-34,MQL,2023-06-29,2023-06-30,,False
LD-136,CON-2605,ACC-2192,CMP-90,MQL,2023-10-16,2023-10-20,,False
LD-137,CON-6345,ACC-3977,CMP-95,MQL,2023-09-11,2023-09-12,,False
LD-138,,ACC-8695,CMP-14,Raw,2023-07-31,,,False
LD-139,CON-8543,ACC-6081,CMP-10,Raw,2023-04-24,,,False
LD-140,CON-19995,ACC-5581,CMP-77,SQL,2022-11-26,2022-11-30,2022-12-02,False
LD-141,,ACC-5406,CMP-75,Raw,2023-11-30,,,False
LD-142,,ACC-181,CMP-98,Raw,2023-11-20,,,False
LD-143,CON-73,ACC-50,CMP-81,Raw,2023-10-05,,,False
LD-144,CON-13585,ACC-9932,CMP-22,Raw,2023-11-28,,,False
LD-145,,ACC-7599,CMP-6,Raw,2023-11-19,,,False
LD-146,,ACC-6375,CMP-90,MQL,2023-12-01,2023-12-02,,False
LD-147,,ACC-3257,CMP-88,Raw,2023-10-10,,,False
LD-148,,ACC-7040,CMP-89,Raw,2023-04-07,,,False
LD-149,CON-12541,ACC-5109,CMP-12,MQL,2022-11-05,2022-11-08,,False
LD-150,CON-1619,ACC-8805,CMP-33,Raw,2022-12-26,,,False
LD-151,CON-19022,ACC-9785,CMP-75,Raw,2023-04-15,,,False
LD-152,,ACC-1299,CMP-0,Raw,2023-03-13,,,False
LD-153,,ACC-7532,CMP-8,Raw,2023-11-03,,,False
LD-154,,ACC-6068,CMP-25,Raw,2023-07-20,,,False
LD-155,CON-2030,ACC-1032,CMP-99,Raw,2023-11-02,,,False
LD-156,,ACC-2795,CMP-71,Raw,2023-03-20,,,False
LD-157,CON-1730,ACC-4507,CMP-81,MQL,2023-08-22,2023-08-27,,False
LD-158,CON-5584,ACC-6600,CMP-90,Raw,2023-08-29,,,False
LD-159,,ACC-8573,CMP-75,MQL,2023-06-08,2023-06-13,,False
LD-160,,ACC-4716,CMP-79,SQL,2023-10-11,2023-10-13,2023-10-19,False
LD-161,,ACC-9922,CMP-58,MQL,2023-11-16,2023-11-20,,False
LD-162,CON-324,ACC-786,CMP-14,Raw,2023-04-30,,,False
LD-163,CON-15995,ACC-3422,CMP-39,Raw,2023-05-17,,,False
LD-164,,ACC-1870,CMP-25,Raw,2023-12-29,,,False
LD-165,,ACC-6204,CMP-38,Converted,2022-07-30,2022-08-03,2022-08-16,True
LD-166,CON-1318,ACC-8264,CMP-60,Raw,2023-12-06,,,False
LD-167,,ACC-9004,CMP-20,SQL,2023-09-27,2023-09-29,2023-10-04,False
LD-168,,ACC-2384,CMP-41,Raw,2023-11-20,,,False
LD-169,CON-18438,ACC-421,CMP-17,SQL,2023-07-15,2023-07-20,2023-07-23,False
LD-170,CON-3686,ACC-1033,CMP-17,Raw,2023-08-07,,,False
LD-171,,ACC-8467,CMP-87,MQL,2023-05-09,2023-05-13,,False
LD-172,CON-10325,ACC-7665,CMP-58,MQL,2023-03-05,2023-03-06,,False
LD-173,CON-657,ACC-8621,CMP-98,Raw,2023-04-21,,,False
LD-174,CON-15510,ACC-2631,CMP-41,Raw,2023-08-15,,,False
LD-175,CON-13325,ACC-8907,CMP-0,Raw,2023-04-27,,,False
LD-176,,ACC-7910,CMP-70,Raw,2023-12-29,,,False
LD-177,CON-6677,ACC-8196,CMP-45,MQL,2023-10-16,2023-10-17,,False
LD-178,,ACC-5250,CMP-43,Raw,2023-08-18,,,False
LD-179,,ACC-4471,CMP-80,Raw,2022-12-27,,,False
LD-180,CON-4094,ACC-8816,CMP-53,Raw,2022-08-12,,,False
LD-181,,ACC-3682,CMP-81,MQL,2023-12-15,2023-12-16,,False
LD-182,CON-3334,ACC-5641,CMP-4,Raw,2023-02-05,,,False
LD-183,,ACC-6875,CMP-39,Raw,2023-09-07,,,False
LD-184,,ACC-8647,CMP-13,Raw,2023-01-04,,,False
LD-185,,ACC-5431,CMP-45,Raw,2023-08-22,,,False
LD-186,CON-5197,ACC-4779,CMP-90,Raw,2023-03-03,,,False
LD-187,CON-17513,ACC-4757,CMP-63,Raw,2023-10-15,,,False
LD-188,,ACC-4150,CMP-45,Raw,2023-12-25,,,False
LD-189,,ACC-1983,CMP-87,Raw,2023-05-23,,,False
LD-190,,ACC-8493,CMP-38,Raw,2023-09-27,,,False
LD-191,,ACC-1988,CMP-74,MQL,2022-09-07,2022-09-11,,False
LD-192,,ACC-1500,CMP-51,Raw,2023-03-05,,,False
LD-193,CON-2667,ACC-9940,CMP-29,Raw,2023-12-13,,,False
LD-194,CON-15300,ACC-8787,CMP-60,Raw,2023-10-23,,,False
LD-195,,ACC-5570,CMP-77,Raw,2023-03-19,,,False
LD-196,CON-18736,ACC-5805,CMP-12,Converted,2022-12-20,2022-12-21,2022-12-25,True
LD-197,CON-201,ACC-8899,CMP-41,Raw,2023-06-20,,,False
LD-198,,ACC-6508,CMP-97,Raw,2023-05-02,,,False
LD-199,CON-13413,ACC-264,CMP-28,Raw,2023-11-26,,,False
LD-200,CON-16657,ACC-1,CMP-41,Raw,2023-09-09,,,False
LD-201,,ACC-7304,CMP-85,Raw,2022-10-20,,,False
LD-202,,ACC-2889,CMP-71,Raw,2023-07-22,,,False
LD-203,CON-9303,ACC-8497,CMP-45,SQL,2023-11-16,2023-11-21,2023-11-22,False
LD-204,,ACC-1576,CMP-54,Raw,2023-11-28,,,False
LD-205,,ACC-9258,CMP-79,SQL,2023-10-27,2023-11-01,2023-11-02,False
LD-206,CON-8694,ACC-7719,CMP-4,Raw,2023-07-03,,,False
LD-207,,ACC-6001,CMP-28,MQL,2023-04-06,2023-04-07,,False
LD-208,CON-6189,ACC-969,CMP-77,SQL,2023-05-06,2023-05-10,2023-05-24,False
LD-209,,ACC-7198,CMP-34,Raw,2023-08-17,,,False
LD-210,CON-12551,ACC-8554,CMP-72,Raw,2023-12-23,,,False
LD-211,CON-1012,ACC-2465,CMP-37,Raw,2023-10-16,,,False
LD-212,CON-11394,ACC-2635,CMP-96,Raw,2023-06-15,,,False
LD-213,,ACC-5209,CMP-19,MQL,2022-12-11,2022-12-12,,False
LD-214,,ACC-4877,CMP-52,MQL,2023-12-08,2023-12-11,,False
LD-215,CON-18164,ACC-5912,CMP-37,Raw,2023-09-08,,,False
LD-216,CON-7578,ACC-5288,CMP-38,Raw,2023-10-20,,,False
LD-217,,ACC-4649,CMP-99,Raw,2023-12-09,,,False
LD-218,,ACC-278,CMP-86,MQL,2023-07-02,2023-07-05,,False
LD-219,,ACC-4796,CMP-44,Raw,2023-07-02,,,False
LD-220,CON-324,ACC-8890,CMP-23,Raw,2023-12-16,,,False
LD-221,CON-1293,ACC-1787,CMP-7,Raw,2022-06-30,,,False
LD-222,CON-18246,ACC-213,CMP-85,MQL,2023-12-01,2023-12-04,,False
LD-223,,ACC-7781,CMP-8,MQL,2023-12-25,2023-12-28,,False
LD-224,,ACC-3399,CMP-78,Raw,2023-12-07,,,False
LD-225,CON-313,ACC-2438,CMP-41,Raw,2023-10-11,,,False
LD-226,CON-2246,ACC-5067,CMP-82,Converted,2023-06-01,2023-06-03,2023-06-15,True
LD-227,,ACC-4633,CMP-62,Raw,2023-11-19,,,False
LD-228,,ACC-8898,CMP-19,Raw,2023-03-16,,,False
LD-229,CON-19650,ACC-1159,CMP-68,Raw,2023-04-14,,,False
LD-230,,ACC-693,CMP-38,Raw,2023-12-16,,,False
LD-231,CON-1914,ACC-4664,CMP-62,Raw,2023-05-20,,,False
LD-232,,ACC-1743,CMP-60,MQL,2023-09-07,2023-09-11,,False
LD-233,,ACC-4895,CMP-97,Raw,2022-09-06,,,False
LD-234,,ACC-2347,CMP-10,Raw,2023-10-13,,,False
LD-235,,ACC-1406,CMP-24,SQL,2023-09-04,2023-09-09,2023-09-19,False
LD-236,CON-4881,ACC-9813,CMP-10,Raw,2023-09-27,,,False
LD-237,CON-14057,ACC-1929,CMP-99,Raw,2023-11-27,,,False
LD-238,CON-17215,ACC-951,CMP-29,Raw,2023-10-15,,,False
LD-239,,ACC-7052,CMP-19,MQL,2023-08-29,2023-08-30,,False
LD-240,CON-2243,ACC-560,CMP-93,Raw,2023-10-15,,,False
LD-241,,ACC-1580,CMP-89,MQL,2023-01-15,2023-01-19,,False
LD-242,CON-7963,ACC-4631,CMP-48,SQL,2023-09-01,2023-09-06,2023-09-15,False
LD-243,CON-6303,ACC-7258,CMP-7,Converted,2023-04-04,2023-04-07,2023-04-21,True
LD-244,,ACC-6791,CMP-9,SQL,2023-02-01,2023-02-02,2023-02-03,False
LD-245,,ACC-5574,CMP-26,Converted,2023-09-18,2023-09-23,2023-10-02,True
LD-246,,ACC-8073,CMP-13,MQL,2023-04-08,2023-04-11,,False
LD-247,CON-1435,ACC-2758,CMP-75,Raw,2022-06-26,,,False
LD-248,CON-9048,ACC-5244,CMP-36,SQL,2023-04-09,2023-04-11,2023-04-14,False
LD-249,CON-1724,ACC-486,CMP-70,Raw,2023-12-15,,,False
LD-250,,ACC-8857,CMP-88,Raw,2022-08-15,,,False
LD-251,CON-15206,ACC-3504,CMP-51,Raw,2023-10-06,,,False
LD-252,,ACC-3555,CMP-65,SQL,2023-06-05,2023-06-10,2023-06-15,False
LD-253,,ACC-1973,CMP-66,Raw,2023-09-01,,,False
LD-254,,ACC-142,CMP-0,Converted,2023-04-29,2023-05-04,2023-05-14,True
LD-255,,ACC-155,CMP-99,Raw,2023-10-02,,,False
LD-256,CON-8731,ACC-327,CMP-13,MQL,2023-03-19,2023-03-20,,False
LD-257,CON-12149,ACC-2475,CMP-17,Raw,2022-11-08,,,False
LD-258,,ACC-1245,CMP-13,Raw,2023-01-09,,,False
LD-259,CON-19698,ACC-9898,CMP-69,Raw,2023-10-09,,,False
LD-260,CON-799,ACC-3711,CMP-43,Raw,2023-10-02,,,False
LD-261,CON-18065,ACC-8986,CMP-92,Raw,2023-05-25,,,False
LD-262,,ACC-6428,CMP-1,Raw,2023-06-17,,,False
LD-263,,ACC-5028,CMP-33,Raw,2023-05-15,,,False
LD-264,,ACC-5441,CMP-22,SQL,2023-11-27,2023-11-29,2023-12-09,False
LD-265,,ACC-1350,CMP-88,Raw,2023-07-25,,,False
LD-266,CON-13680,ACC-1195,CMP-44,Raw,2022-11-25,,,False
LD-267,CON-14203,ACC-4010,CMP-96,Raw,2023-09-22,,,False
LD-268,CON-2070,ACC-7267,CMP-67,SQL,2023-09-26,2023-10-01,2023-10-10,False
LD-269,CON-3279,ACC-1886,CMP-16,Raw,2023-12-27,,,False
LD-270,,ACC-6283,CMP-18,Raw,2023-05-06,,,False
LD-271,CON-18479,ACC-404,CMP-43,Raw,2023-10-18,,,False
LD-272,CON-17395,ACC-9357,CMP-93,Converted,2023-11-07,2023-11-11,2023-11-15,True
LD-273,CON-19315,ACC-645,CMP-69,Raw,2023-12-28,,,False
LD-274,,ACC-9536,CMP-29,Raw,2023-09-16,,,False
LD-275,CON-18219,ACC-4081,CMP-8,Raw,2023-10-29,,,False
LD-276,,ACC-2607,CMP-40,Raw,2023-07-19,,,False
LD-277,,ACC-6178,CMP-45,Raw,2023-08-29,,,False
LD-278,CON-2943,ACC-8568,CMP-49,MQL,2023-10-14,2023-10-19,,False
LD-279,,ACC-6104,CMP-99,Raw,2023-12-05,,,False
LD-280,CON-17170,ACC-9108,CMP-32,Raw,2023-01-20,,,False
LD-281,,ACC-6831,CMP-11,Raw,2023-08-02,,,False
LD-282,CON-19707,ACC-106,CMP-48,Raw,2023-10-19,,,False
LD-283,,ACC-7148,CMP-60,Raw,2023-06-19,,,False
LD-284,,ACC-7553,CMP-64,Raw,2023-11-01,,,False
LD-285,,ACC-2760,CMP-67,Raw,2023-12-15,,,False
LD-286,CON-3989,ACC-9343,CMP-67,Raw,2023-10-28,,,False
LD-287,,ACC-9923,CMP-45,Raw,2023-10-09,,,False
LD-288,CON-17509,ACC-7784,CMP-55,Raw,2023-06-26,,,False
LD-289,,ACC-9276,CMP-17,Raw,2023-03-30,,,False
LD-290,CON-7516,ACC-5506,CMP-8,Raw,2023-11-29,,,False
LD-291,CON-11317,ACC-1067,CMP-34,Raw,2023-07-12,,,False
LD-292,,ACC-3748,CMP-20,Raw,2023-09-22,,,False
LD-293,,ACC-5947,CMP-87,MQL,2023-07-04,2023-07-07,,False
LD-294,,ACC-6982,CMP-79,Raw,2023-11-05,,,False
LD-295,,ACC-7770,CMP-12,Raw,2023-08-18,,,False
LD-296,,ACC-747,CMP-78,Raw,2023-11-15,,,False
LD-297,,ACC-4039,CMP-83,Converted,2023-09-14,2023-09-15,2023-09-20,True
LD-298,,ACC-3162,CMP-37,Raw,2023-01-30,,,False
LD-299,,ACC-4064,CMP-69,MQL,2023-08-30,2023-09-03,,False
LD-300,,ACC-2455,CMP-49,MQL,2023-12-27,2023-12-28,,False
LD-301,CON-2053,ACC-5638,CMP-4,Raw,2022-06-03,,,False
LD-302,,ACC-8656,CMP-83,Raw,2023-02-15,,,False
LD-303,,ACC-1019,CMP-15,Raw,2022-12-04,,,False
LD-304,CON-19085,ACC-8783,CMP-71,Raw,2023-07-27,,,False
LD-305,CON-11441,ACC-887,CMP-39,MQL,2023-06-20,2023-06-22,,False
LD-306,,ACC-4809,CMP-18,Raw,2023-12-21,,,False
LD-307,CON-850,ACC-2728,CMP-8,Raw,2023-11-25,,,False
LD-308,,ACC-7739,CMP-52,Raw,2023-08-30,,,False
LD-309,CON-6625,ACC-3542,CMP-19,Raw,2023-07-15,,,False
LD-310,CON-10028,ACC-7696,CMP-5,Raw,2023-10-01,,,False
LD-311,,ACC-5093,CMP-10,Raw,2023-09-07,,,False
LD-312,CON-16947,ACC-4691,CMP-89,Raw,2023-03-28,,,False
LD-313,CON-3206,ACC-4410,CMP-61,MQL,2023-12-12,2023-12-16,,False
LD-314,,ACC-483,CMP-11,Converted,2023-08-20,2023-08-22,2023-09-02,True
LD-315,CON-5551,ACC-9989,CMP-79,Raw,2023-12-11,,,False
LD-316,,ACC-5693,CMP-88,Raw,2023-02-02,,,False
LD-317,,ACC-7369,CMP-1,SQL,2023-03-04,2023-03-07,2023-03-12,False
LD-318,CON-16536,ACC-9488,CMP-98,Raw,2023-10-19,,,False
LD-319,CON-3717,ACC-3855,CMP-77,Raw,2023-11-09,,,False
LD-320,CON-1110,ACC-8876,CMP-64,MQL,2023-02-18,2023-02-23,,False
LD-321,CON-5580,ACC-7330,CMP-43,Raw,2023-08-24,,,False
LD-322,,ACC-2552,CMP-30,Raw,2023-11-11,,,False
LD-323,CON-15901,ACC-547,CMP-99,Raw,2023-12-07,,,False
LD-324,CON-1441,ACC-5001,CMP-27,Converted,2023-11-22,2023-11-26,2023-12-03,True
LD-325,CON-3465,ACC-6301,CMP-31,MQL,2023-09-20,2023-09-25,,False
LD-326,,ACC-8941,CMP-67,Raw,2023-04-24,,,False
LD-327,,ACC-1579,CMP-15,SQL,2023-07-09,2023-07-10,2023-07-21,False
LD-328,,ACC-7779,CMP-41,Raw,2023-07-03,,,False
LD-329,CON-1225,ACC-2111,CMP-35,SQL,2023-09-17,2023-09-19,2023-09-26,False
LD-330,,ACC-8258,CMP-9,Raw,2022-12-13,,,False
LD-331,,ACC-2744,CMP-60,SQL,2023-05-20,2023-05-24,2023-06-04,False
LD-332,CON-19197,ACC-8828,CMP-64,Raw,2023-11-12,,,False
LD-333,CON-9133,ACC-4715,CMP-78,MQL,2023-10-19,2023-10-23,,False
LD-334,CON-8703,ACC-3464,CMP-99,Raw,2023-09-02,,,False
LD-335,,ACC-4026,CMP-98,MQL,2023-04-21,2023-04-23,,False
LD-336,,ACC-6291,CMP-99,MQL,2023-12-24,2023-12-26,,False
LD-337,,ACC-2912,CMP-87,Raw,2023-09-08,,,False
LD-338,CON-5576,ACC-3566,CMP-54,Raw,2023-12-27,,,False
LD-339,,ACC-3413,CMP-19,Raw,2023-02-12,,,False
LD-340,CON-5260,ACC-4589,CMP-86,Raw,2023-10-27,,,False
LD-341,CON-14771,ACC-2399,CMP-59,Raw,2023-09-25,,,False
LD-342,CON-14872,ACC-8752,CMP-53,MQL,2023-08-09,2023-08-11,,False
LD-343,CON-90,ACC-3845,CMP-31,MQL,2023-04-26,2023-05-01,,False
LD-344,,ACC-5790,CMP-99,MQL,2023-11-24,2023-11-28,,False
LD-345,,ACC-1032,CMP-72,Raw,2022-12-11,,,False
LD-346,,ACC-2307,CMP-81,Raw,2023-08-16,,,False
LD-347,,ACC-1030,CMP-10,Raw,2023-04-17,,,False
LD-348,CON-12154,ACC-6123,CMP-95,Raw,2022-06-23,,,False
LD-349,CON-16420,ACC-3531,CMP-32,Raw,2023-04-17,,,False
LD-350,,ACC-9201,CMP-2,Raw,2023-12-24,,,False
LD-351,CON-18378,ACC-9332,CMP-61,Raw,2023-12-13,,,False
LD-352,CON-18171,ACC-398,CMP-41,Raw,2023-10-02,,,False
LD-353,,ACC-7366,CMP-85,SQL,2023-11-12,2023-11-16,2023-11-30,False
LD-354,CON-3499,ACC-5975,CMP-89,MQL,2023-11-19,2023-11-23,,False
LD-355,,ACC-9118,CMP-90,Raw,2023-11-24,,,False
LD-356,,ACC-477,CMP-99,Raw,2023-12-28,,,False
LD-357,,ACC-3867,CMP-6,Raw,2023-11-26,,,False
LD-358,,ACC-64,CMP-67,MQL,2023-05-26,2023-05-29,,False
LD-359,,ACC-6806,CMP-30,SQL,2023-11-07,2023-11-10,2023-11-16,False
