history_id,opportunity_id,from_stage,to_stage,change_date
221fd0bb-5706-43bb-aebe-4dcd29f1f0d5,OPP-9,Negotiation,,2023-10-17
b6352a9d-b070-41b8-8284-ea16cc113a66,OPP-9,Closed Lost,Closed Lost,2023-10-20
862610ba-c37d-47fb-beac-9f248c58b11d,OPP-10,Discovery,,2023-05-14
806824b2-b529-45a2-b880-91180c749bae,OPP-10,Demo,,2023-05-22
8758bbad-f524-4918-b830-3af860363d13,OPP-10,Proposal,,2023-05-28
2a560a3a-c93e-4c4a-88fc-3f83121d103b,OPP-11,Discovery,,2023-11-15
6d2a8232-230e-4d18-a9f9-a8ebeee07055,OPP-11,Demo,,2023-11-17
76d86066-6b52-4773-afa6-fccef4c29282,OPP-11,Proposal,,2023-11-18
27ea73db-03d4-4d6c-a2b6-58e823f7a627,OPP-11,Negotiation,,2023-11-21
94605083-ef63-46d1-81d2-ca56174c4e68,OPP-11,Closed Lost,Closed Lost,2023-12-02
b796499e-3e25-4413-b67b-fd369ae33577,OPP-12,Discovery,,2023-09-20
ed4cb3c6-538a-4f19-a3fd-fc626d76c546,OPP-12,Demo,,2023-09-29
d3b2cd08-6047-4744-b2af-5a1bdae3de08,OPP-12,Proposal,,2023-10-08
3b748340-38c3-4ddc-942f-61e297fa7afe,OPP-12,Negotiation,,2023-10-16
8549ff6a-bea9-433b-b4da-7b526e8340b8,OPP-12,Closed Lost,Closed Lost,2023-10-26
c794fe88-08b5-46d2-b042-6ff1ac1c9241,OPP-13,Discovery,,2023-09-02
fe05dda8-7064-41d0-a6b0-190e9cd05c91,OPP-13,Demo,,2023-09-04
e3f0adce-744a-44f3-afb2-2f13a68c3f84,OPP-13,Proposal,,2023-09-11
4c8b82dc-e54f-46f7-96d2-82f3bbc15d34,OPP-13,Negotiation,,2023-09-13
00ddc730-ea1e-49b3-ad1c-66ed78530f71,OPP-13,Closed Won,Closed Won,2023-09-24
10a5de10-41d1-4dcd-bd00-d0a4aab17ba1,OPP-14,Discovery,,2023-12-03
824a7ea7-f75a-4ce4-b9fc-0d42cd7cc76f,OPP-14,Demo,,2023-12-12
426282fc-86f3-44de-89c4-7dcb144cdac3,OPP-14,Proposal,,2023-12-20
be340b2e-0be1-4cd0-af30-41a38ddf2b9f,OPP-14,Negotiation,,2023-12-23
b6c176d0-4bbe-4a42-8bea-8938e60190ef,OPP-14,Closed Lost,Closed Lost,2023-12-27
16d2a854-145c-4a2d-b8be-b6875f7fc5e1,OPP-15,Discovery,,2023-08-02
6924884b-c7fd-460b-837b-b9a0ee4e50f9,OPP-15,Demo,,2023-08-03
92b3cb95-e427-4eb4-a913-efa2de6a3d29,OPP-15,Proposal,,2023-08-15
5953e179-e913-47da-b01f-94c0f943c995,OPP-15,Negotiation,,2023-08-25
5687f2b4-a6eb-4fee-b687-dffc47efc55e,OPP-15,Closed Lost,Closed Lost,2023-09-06
e0071660-4077-4c74-8f70-2e7b8b818e8e,OPP-16,Discovery,,2022-06-27
aeee3b85-07d3-479d-a2f3-d44419a23f9c,OPP-16,Demo,,2022-06-30
965ee4ae-183b-40fe-8059-6d90573fe5f8,OPP-16,Proposal,,2022-07-03
86cfc780-efd2-41e9-8c94-c60381fcddd9,OPP-16,Negotiation,,2022-07-04
937adc39-2fce-41aa-aad6-543046ce3d69,OPP-16,Closed Lost,Closed Lost,2022-07-05
143dddf9-1cab-40fd-9ba8-11e59a9806c6,OPP-17,Discovery,,2022-09-23
59b70dfa-d019-4105-a3bf-08acd6e66d78,OPP-17,Demo,,2022-10-01
54a24235-a3f1-496c-acf5-405c7df76ee4,OPP-17,Proposal,,2022-10-11
b7537cd2-8ecc-413d-9675-f026bf768d80,OPP-17,Negotiation,,2022-10-20
b927ead6-0405-4d62-a925-5d19e1f9113b,OPP-17,Closed Won,Closed Won,2022-10-29
cc3022c9-eb2e-4767-906a-68064a9fb75e,OPP-18,Discovery,,2023-10-28
aceea2be-5199-4a8e-a812-6891ef24d87b,OPP-18,Demo,,2023-11-05
9bb94563-77ff-4a47-8dcf-23de9b8f0fac,OPP-18,Proposal,,2023-11-12
0c207fda-627b-4fd6-8e85-e345da90a7f2,OPP-18,Negotiation,,2023-11-14
128397e0-558a-4e6d-865a-9de9ce8cae9d,OPP-18,Closed Lost,Closed Lost,2023-11-17
de990c74-10d6-44ba-8255-8b405a391f6b,OPP-19,Discovery,,2023-03-19
5fd94d0f-def6-406f-af99-e5757a0a1199,OPP-19,Demo,,2023-04-03
482d4f86-7a29-477a-ade7-c498624e663e,OPP-19,Proposal,,2023-04-18
fca7bf5a-426c-4139-93bd-3f045bbae7b3,OPP-19,Negotiation,,2023-04-27
45cd0d7d-2bb1-4631-8b2f-f0cc923da16d,OPP-20,Discovery,,2023-05-02
c2c0c429-4566-4d3e-8cbb-887d258acb1e,OPP-20,Demo,,2023-05-08
3df7539c-cdde-4783-b127-3e5cb1e2ae5f,OPP-20,Proposal,,2023-05-19
9d1cd496-adb1-480f-b984-a638fb07e710,OPP-20,Negotiation,,2023-05-26
03195ad9-79b0-478c-8472-8759c5b53838,OPP-20,Closed Lost,Closed Lost,2023-06-05
a9ee76f8-9656-4cca-858c-59fc566c19a2,OPP-21,Discovery,,2023-11-06
55342e98-f633-423d-b4a8-2a036760fa2f,OPP-21,Demo,,2023-11-15
3fe552a2-227b-4263-bc39-ec1ed8d52dc1,OPP-21,Proposal,,2023-11-25
987138f5-3894-4af5-8ac3-ac857dd1c2ca,OPP-21,Negotiation,,2023-12-03
14f7a062-6135-4af0-9985-a5a10137d310,OPP-21,Closed Lost,Closed Lost,2023-12-06
4dc80043-17a1-4ce2-aea0-4ca131badc85,OPP-22,Discovery,,2022-11-01
f44c7ca7-6db4-479c-814f-76c2bd156474,OPP-22,Demo,,2022-11-13
67418a52-718c-4ea3-a9aa-4d1eb3a1f943,OPP-22,Proposal,,2022-11-18
64c067c4-310a-4beb-b315-3e26f363b624,OPP-23,Discovery,,2023-06-24
9d98038d-484f-4286-988e-bf4eeecbd110,OPP-23,Demo,,2023-07-05
05d4bbe3-5dc9-4ab2-92eb-910d690548c2,OPP-23,Proposal,,2023-07-06
c899fdae-895c-4808-8074-22ebb3e075bf,OPP-23,Negotiation,,2023-07-07
dd16a4ca-d1c5-4b55-8073-8bbd5cda5613,OPP-23,Closed Lost,Closed Lost,2023-07-09
0d3f5bd4-35ee-4e2f-8129-25ff21f53ae4,OPP-24,Discovery,,2023-03-12
db46503a-4b4a-495f-b0d8-d617bd187dcd,OPP-24,Demo,,2023-03-29
bd057fc8-cb6e-4c41-a3d4-928bc4a44e67,OPP-25,Discovery,,2023-05-01
dc2c9900-56d7-462e-9323-30273f7c9ad7,OPP-25,Demo,,2023-05-02
81481f90-2729-47f6-ad6c-e64cb6edc52c,OPP-25,Proposal,,2023-05-10
0dd4d52e-cedc-4905-ad74-564c3fddd753,OPP-25,Negotiation,,2023-05-16
bf694cb3-911c-405b-98a2-d3459387115c,OPP-25,Closed Lost,Closed Lost,2023-05-21
65790401-b702-430f-985d-0f44b5870568,OPP-26,Discovery,,2023-06-14
cc223601-00a6-4a77-9d5f-6c841dd7eaf5,OPP-26,Demo,,2023-06-20
071c65ae-26b5-45bd-8da5-5e9484c25bab,OPP-26,Proposal,,2023-06-29
14b83e0e-ab3d-437d-b6e5-05377f95f52d,OPP-27,Discovery,,2022-08-13
78338a99-6f43-4bb5-8ca0-9c0312ff4bf7,OPP-27,Demo,,2022-08-20
a7126e92-ec60-4433-9a34-30a639b7eb5a,OPP-27,Proposal,,2022-08-25
37aa1602-9174-4258-a528-1f80d83d001c,OPP-27,Negotiation,,2022-08-27
33815a5a-bd04-49ed-aff3-f4523876e6bb,OPP-27,Closed Won,Closed Won,2022-09-06
fb09cdd3-b4ef-45b9-8625-3d2d778961d5,OPP-28,Discovery,,2023-10-11
4675ec31-22c5-4fea-b629-05bdda0ff7ec,OPP-28,Demo,,2023-10-16
00319c68-7767-477a-a003-9bfc9331028c,OPP-28,Proposal,,2023-10-19
d9bb0a84-758a-482b-8645-a1c86723580c,OPP-28,Negotiation,,2023-10-20
0d7972fc-1a72-4f3f-adfd-e2aec0d484e4,OPP-28,Closed Lost,Closed Lost,2023-10-27
94f40ed9-f3fb-4ffb-a358-397190bb5fa3,OPP-29,Discovery,,2022-12-10
8230ebd0-daad-464b-b787-7c82fd472b96,OPP-29,Demo,,2022-12-21
6491f344-8395-4a36-8b1f-f5488195c635,OPP-29,Proposal,,2023-01-04
b02bfb8b-dc64-4efd-aab0-5801e679626d,OPP-29,Negotiation,,2023-01-05
515b5aa6-276c-4e1a-9e01-87171bbba34d,OPP-29,Closed Lost,Closed Lost,2023-01-10
38b16940-f8b5-43da-9185-47d441a59525,OPP-30,Discovery,,2023-11-12
045efa4d-c6c0-4015-a4b1-d465da97d564,OPP-30,Demo,,2023-11-17
e2f6ad8e-666f-4c9b-b81a-c73004ca1bb6,OPP-30,Proposal,,2023-11-20
77d9f068-168a-4688-9bf3-82703ffeb509,OPP-30,Negotiation,,2023-11-23
f6a72456-a46a-4b8c-ace5-78ed7a1524c0,OPP-30,Closed Won,Closed Won,2023-12-02
d6656296-d4c1-434c-961f-89375f928189,OPP-31,Discovery,,2022-09-25
9cc4e5ba-cef1-485a-b258-11cb26814ea9,OPP-31,Demo,,2022-10-02
d500a6b1-cd93-451f-8af8-cbcf8b5717cb,OPP-31,Proposal,,2022-10-13
f635e86d-e357-4b63-9c98-03ade3c8e211,OPP-31,Negotiation,,2022-10-27
894c99e5-fc1f-4470-9917-4b5a381532e8,OPP-31,Closed Lost,Closed Lost,2022-11-09
2f012109-8fd1-4c4d-aedd-8b6da0ea782a,OPP-32,Discovery,,2023-10-26
35cf6453-b232-491c-8ac8-a2b87870a3e8,OPP-32,Demo,,2023-10-31
d2805ec0-902b-4665-b6f5-01d81730720a,OPP-32,Proposal,,2023-11-04
3b196d75-8ace-4949-9a19-fd0be7ac6489,OPP-32,Negotiation,,2023-11-07
c824c411-7b30-491f-92cd-889ce3689bb8,OPP-32,Closed Won,Closed Won,2023-11-10
ac4c37b9-34a8-4f49-9418-c0b6a018bfa3,OPP-33,Discovery,,2023-12-09
67708aec-e6c9-4441-8d0a-9442e4355814,OPP-34,Discovery,,2024-01-05
ee78546f-09f7-48d6-9825-9493493db8fa,OPP-35,Discovery,,2023-01-25
d9b63e07-6763-4b68-a50f-9c1c8945c392,OPP-36,Discovery,,2023-09-07
948c2cbf-eaa4-4df0-a378-db9d7799573a,OPP-36,Demo,,2023-09-10
bff5ac39-0de8-4193-b22f-517ce27daa81,OPP-36,Proposal,,2023-09-12
9c72086c-3058-40b3-97d4-db7b630b74bb,OPP-36,Negotiation,,2023-09-15
51fa1de7-4396-44da-929c-6130a2b301f6,OPP-36,Closed Lost,Closed Lost,2023-09-23
4ee2e0ce-ef93-4190-ba36-b7160eb75219,OPP-37,Discovery,,2023-12-16
08da9ece-274a-43b8-a43a-8cf3c4436457,OPP-37,Demo,,2023-12-23
b28ccd91-d5a7-48ad-ac4d-75164699c586,OPP-37,Proposal,,2023-12-31
830f2184-f754-4b2c-81fa-b5fe57aa2b13,OPP-38,Discovery,,2023-10-10
64a858f1-122b-4056-a64e-2b1bef218972,OPP-38,Demo,,2023-10-13
67b1b100-e930-4c55-a778-949741796855,OPP-38,Proposal,,2023-10-22
92f76e46-c900-4767-aceb-bef948b858ec,OPP-39,Discovery,,2023-06-16
11002d55-a3a1-4151-9dbb-80df8d73e530,OPP-39,Demo,,2023-06-19
b10db53b-4a40-47fd-8cb5-6d69df9d6543,OPP-39,Proposal,,2023-06-26
ad1f1be5-18a4-410e-8c91-497055ed729a,OPP-39,Negotiation,,2023-07-03
7cc53b03-b2e4-4807-b525-0487ed068c04,OPP-39,Closed Won,Closed Won,2023-07-08
863291e6-4be1-469e-91c8-cf92a7aa29ca,OPP-40,Discovery,,2023-03-23
355cbb22-a969-494c-a0a8-0f080f8bb56b,OPP-40,Demo,,2023-03-28
d7fcd84b-6c27-4c0e-b8c5-af1fd902d50c,OPP-41,Discovery,,2023-12-09
a46e74c9-e3a8-437c-b2f9-c6b5704b6316,OPP-42,Discovery,,2023-10-16
8e769dc6-c02b-4363-bf79-d7f10d02b1c5,OPP-42,Demo,,2023-10-28
bff4dcb2-58ff-4c6a-9955-34356a34b109,OPP-42,Proposal,,2023-10-29
bed2655d-df5e-4b03-9ceb-45c1bb9f2b9e,OPP-42,Negotiation,,2023-11-06
166cce17-8509-484a-95b6-8d5ba88233a6,OPP-43,Discovery,,2023-12-24
797ea376-c9ea-43b1-b45e-7f2d455d524c,OPP-43,Demo,,2023-12-26
17fbba46-474a-412d-b596-68f8a909fb25,OPP-44,Discovery,,2023-06-13
ce3a7132-e79f-4465-8846-b99617e35c2d,OPP-44,Demo,,2023-06-21
72175d12-afd8-487f-b439-1e8f0d966e3a,OPP-44,Proposal,,2023-06-26
22aaac85-5084-4fb2-b194-dcee50d9f96d,OPP-45,Discovery,,2023-12-07
32f55ca3-26e3-46dd-8eb6-b40faaba9823,OPP-45,Demo,,2023-12-16
bf8b0671-c5c2-4ee4-9765-15dc9ede84a2,OPP-45,Proposal,,2023-12-24
4c3a9994-f899-42e1-b495-fb06db1c8eac,OPP-46,Discovery,,2022-06-03
eebc5583-867a-47bf-85e9-8237a3ae2631,OPP-46,Demo,,2022-06-07
732028d0-0364-4c12-98c3-4e3cf75904aa,OPP-46,Proposal,,2022-06-15
3e9a58bd-a30e-4880-b6db-cef11c896b95,OPP-46,Negotiation,,2022-06-18
8f962c6a-72f6-465c-942d-24b01442b192,OPP-46,Closed Won,Closed Won,2022-06-22
72de1f7f-e9e1-4a0c-bd64-a64c8d081355,OPP-47,Discovery,,2023-10-04
c6c4d107-9c48-47a3-88b5-dc01cdb37d3f,OPP-47,Demo,,2023-10-10
2ad4fdcc-6a37-43bb-8f01-5a926a20092e,OPP-47,Proposal,,2023-10-16
62967d21-925f-46b5-9893-b1d215551470,OPP-47,Negotiation,,2023-10-18
7863245a-8a3f-4c6a-b127-a7d4d78648ad,OPP-47,Closed Lost,Closed Lost,2023-10-23
a3984732-9d11-499a-a233-798ee51ebe35,OPP-48,Discovery,,2023-05-11
10bc86f4-b469-462a-8a02-ad15032e8bbb,OPP-48,Demo,,2023-05-23
e2db7123-0e9f-48bc-8f02-726fe97b0b92,OPP-48,Proposal,,2023-06-02
04ee06a7-6612-41cd-a107-fd9fe1f50f31,OPP-48,Negotiation,,2023-06-16
f91418fc-4cec-490b-8e56-4e8976b76d2c,OPP-49,Discovery,,2023-04-20
5a9786a4-f9bb-4820-b180-dfeb7de68907,OPP-49,Demo,,2023-04-26
132616e1-4e31-44b1-9183-ae875e72f40a,OPP-49,Proposal,,2023-05-02
0a7bfb99-5f8b-4571-b3c3-e8fbc9f4bc08,OPP-49,Negotiation,,2023-05-15
5ff0e98f-216f-4737-b113-ce23a88b78ae,OPP-49,Closed Lost,Closed Lost,2023-05-28
c904bc91-05c5-44a4-8531-f3208d906be0,OPP-50,Discovery,,2023-12-02
881df5a6-4e47-4768-98ce-dd311c270464,OPP-50,Demo,,2023-12-05
b6772a8f-e20f-487b-9c8a-c448392b480a,OPP-50,Proposal,,2023-12-10
575ccb77-cf51-428c-81da-d2d1fdfcffb3,OPP-50,Negotiation,,2023-12-13
8dec56bd-c21f-4783-be5e-20d6f63be45e,OPP-50,Closed Won,Closed Won,2023-12-14
3ff247ee-49b4-4f60-ad23-7778e83afce6,OPP-51,Discovery,,2022-10-06
18c5752e-0ef1-4f36-b5a8-3c5c0103fef9,OPP-51,Demo,,2022-10-13
06ae5317-bfc9-4fc3-85d9-0707cedc3194,OPP-51,Proposal,,2022-10-19
53adcc0f-cc13-4102-ac15-b4198d2ed18a,OPP-51,Negotiation,,2022-10-22
4ba1e56b-e724-4b2b-b3f7-9bf6f2a452c9,OPP-51,Closed Lost,Closed Lost,2022-10-28
9e425d07-db0f-49db-84dc-0273d145c236,OPP-52,Discovery,,2023-06-28
85f7bb15-91ac-468d-9efe-ce6840f58621,OPP-52,Demo,,2023-06-29
98e596fa-affd-4aaa-98f5-9d17b2afb7e5,OPP-52,Proposal,,2023-07-02
2c12efa5-819c-4fc5-883b-353dd928b804,OPP-52,Negotiation,,2023-07-08
c1ea440e-a322-4ff6-bcff-d22e96e88631,OPP-52,Closed Won,Closed Won,2023-07-15
866da826-bfd0-48eb-9b9f-e73172885c09,OPP-53,Discovery,,2023-11-29
c407f64b-cd8e-46ae-a655-2adfed6c2908,OPP-54,Discovery,,2023-07-01
8a82c934-da84-4cab-bf10-6828043b5a95,OPP-54,Demo,,2023-07-15
b3f52f25-68db-470c-ac59-91a23f6e67ba,OPP-54,Proposal,,2023-07-20
261e9914-8b5d-441e-8add-e60a1510f27b,OPP-54,Negotiation,,2023-07-25
de4057f8-631f-45c9-8f50-c6279b63b741,OPP-54,Closed Lost,Closed Lost,2023-07-31
ebe4ae2e-6915-4a91-936f-8ff63c0be7b9,OPP-55,Discovery,,2023-07-17
215756dd-57ef-49e7-ac4e-b0d97e913dde,OPP-55,Demo,,2023-07-21
b4f594c1-d4a8-4a05-abdc-32c917112cfe,OPP-55,Proposal,,2023-07-31
f30a2c63-7957-4dab-8c8f-967a61d42c63,OPP-55,Negotiation,,2023-08-06
57bdb5e2-d0fd-432d-a3e0-7f3ae7e56dc6,OPP-55,Closed Lost,Closed Lost,2023-08-15
17ea7cc4-f753-4d55-8016-f5d061c76bda,OPP-56,Discovery,,2023-07-21
32e9cfb9-5b74-48eb-a0cf-9f61a2ff031d,OPP-56,Demo,,2023-08-01
43bf9b9d-063c-4467-937c-8e5f95886a11,OPP-56,Proposal,,2023-08-03
68321890-1a57-470c-a816-e72f65842be3,OPP-56,Negotiation,,2023-08-05
22705f73-543d-4a06-8fd3-78c9e5f6dcb7,OPP-56,Closed Lost,Closed Lost,2023-08-12
77813016-ac69-4716-b8af-db7ff5cd5955,OPP-57,Discovery,,2023-12-01
0ac52f05-f75b-4f13-862f-4d758beef3fb,OPP-57,Demo,,2023-12-06
985ac783-e81b-4ef0-97cf-2aa42b1516eb,OPP-57,Proposal,,2023-12-16
8deb1c35-b1ef-4f0a-b9a0-a8ed98613f96,OPP-57,Negotiation,,2023-12-20
8cb16ce7-d588-4358-a50f-7952f8702abe,OPP-57,Closed Lost,Closed Lost,2023-12-21
3d025669-2302-4a9c-a407-c426418dae1d,OPP-58,Discovery,,2023-09-07
2f3fae94-4e23-4958-a1e3-d5abf04e3102,OPP-58,Demo,,2023-09-14
0cda4ddc-2532-4d80-a019-620f2d3f5a77,OPP-58,Proposal,,2023-09-22
3d282b52-40ee-4654-8052-9fdc0f5b3c55,OPP-58,Negotiation,,2023-09-27
d216119d-c82c-4bac-a076-2d845c012831,OPP-58,Closed Lost,Closed Lost,2023-09-28
47e480a9-46fc-4a2a-ad70-c0cba5bfae4b,OPP-59,Discovery,,2022-11-25
bff2e96f-489b-4a05-9085-a7af46d00f06,OPP-59,Demo,,2022-12-06
7ec1750a-1c6e-437e-ba52-375e2dde2294,OPP-59,Proposal,,2022-12-13
5da9ce3f-ec02-46df-b700-466cb13d473e,OPP-59,Negotiation,,2022-12-14
e79f4134-67b7-4c08-bda2-0385c1ecd6db,OPP-59,Closed Lost,Closed Lost,2022-12-16
d56275bd-31b2-40cb-b428-36d5eb3e89e1,OPP-60,Discovery,,2024-01-04
9dc51955-a3cd-41fa-b7dd-7f26f34d360b,OPP-61,Discovery,,2023-11-12
0cd21941-8bff-442e-aaf6-e4b0e0d22307,OPP-62,Discovery,,2023-12-05
16d9736e-fde5-4114-b01b-a0dc42d58c66,OPP-63,Discovery,,2023-02-19
3e5cbc42-9782-43b9-b611-92f4aa2beb34,OPP-63,Demo,,2023-02-21
6d3b1879-e496-4e4c-ba76-d4873ce831bf,OPP-63,Proposal,,2023-02-24
cea6a667-701d-46b3-b7c2-717543f4bfd8,OPP-63,Negotiation,,2023-03-01
81a7d2d7-7909-4e14-9889-fd5a23d6c518,OPP-63,Closed Lost,Closed Lost,2023-03-04
a0b14401-a070-4180-b8eb-dfd5aa146da6,OPP-64,Discovery,,2023-02-23
b361535e-d030-4362-aa8e-34f050f5280d,OPP-64,Demo,,2023-03-14
15f64716-1ab6-4dd3-b8ec-55ef65183034,OPP-64,Proposal,,2023-04-10
e11c203f-df10-4569-8012-a8b19cb30d45,OPP-64,Negotiation,,2023-05-18
8f90a8fa-b136-4017-8815-6130eb0539b9,OPP-64,Closed Lost,Closed Lost,2023-06-30
ecd917ab-6fe2-4197-a947-119e6c07a0c2,OPP-65,Discovery,,2023-02-28
d81638a9-ec0e-49a0-8110-221679f09176,OPP-65,Demo,,2023-03-05
d5998a7d-fe4d-43f6-b090-5526491fbd46,OPP-65,Proposal,,2023-03-11
74c56192-6e9e-4d32-bfef-4b84ac9a241b,OPP-65,Negotiation,,2023-03-13
d4d39ac1-b34c-4271-be50-994cdf54bf87,OPP-65,Closed Lost,Closed Lost,2023-03-19
9a1e3b5d-cb3a-4e63-b44f-ef778b14fcb6,OPP-66,Discovery,,2024-01-09
517e52bf-da79-4474-90f0-898eac41e168,OPP-67,Discovery,,2023-12-27
10f86a7d-0f78-4ba4-8038-36ec4035c933,OPP-68,Discovery,,2023-12-09
baffe8b6-223d-4f5e-97b9-593ecc45317f,OPP-68,Demo,,2023-12-21
cdf4aa2f-f19e-40c9-bb1a-ff2adf3f0a65,OPP-68,Proposal,,2023-12-31
368b17d8-00ad-4f50-bc7e-202cdaf2d2aa,OPP-69,Discovery,,2023-10-08
4f3274fc-b043-4217-b442-6f6b8dac3262,OPP-69,Demo,,2023-10-18
06c57192-de89-4c49-8ead-779fa4cfd89c,OPP-69,Proposal,,2023-10-21
1d1883c4-c4eb-41ab-8226-42e05108f95c,OPP-69,Negotiation,,2023-10-25
12b212d8-99bc-40a0-9e10-e8a785214bed,OPP-69,Closed Won,Closed Won,2023-11-01
e38fd6fe-f19a-45d7-818c-2667a5a3c76f,OPP-70,Discovery,,2023-07-08
e2e41bea-5ac8-4c2a-87ca-e66637cd24ab,OPP-70,Demo,,2023-07-09
6fc64b3a-2275-4507-ab9b-6361c83c59fe,OPP-71,Discovery,,2022-12-11
deafe5f0-6f28-4c96-8038-e8fc91bcfdc8,OPP-71,Demo,,2022-12-12
669b5883-f365-4edf-b1d6-6b52bff3a40c,OPP-71,Proposal,,2022-12-22
a5b422f2-51a7-4fbb-a6ff-683fbb72e956,OPP-71,Negotiation,,2022-12-31
18283a0a-e83a-41ab-bcb3-fd24b59df8a6,OPP-71,Closed Won,Closed Won,2023-01-07
e376b972-1995-43e9-85eb-7c21e62e9205,OPP-72,Discovery,,2023-09-19
cf2b6160-20e3-4a6e-afc7-2f2623a1908f,OPP-72,Demo,,2023-09-25
f5543b9f-206a-4e07-b0bf-b4136947ae4b,OPP-73,Discovery,,2023-01-06
74403339-4d37-4175-8c2a-b437fbd725b5,OPP-73,Demo,,2023-01-14
b32dfb26-a0b1-4651-ba2f-a6dc5a70493b,OPP-73,Proposal,,2023-01-16
a2b1554a-d668-457f-bb8d-207ddba9287c,OPP-73,Negotiation,,2023-01-18
c4e7da4e-7d75-4fcd-8de9-6acfe3efba87,OPP-73,Closed Won,Closed Won,2023-01-20
8a523bd9-3cff-49f7-a06e-992a8d615246,OPP-74,Discovery,,2022-11-27
fbcd43b8-b902-4a1a-b8aa-cf888c9e57af,OPP-74,Demo,,2022-12-02
99f41166-c87d-4de1-a17c-04b73ec6d554,OPP-75,Discovery,,2023-10-11
5b860cf5-3df7-43c2-ae8a-d3029653d151,OPP-75,Demo,,2023-10-14
93c82f69-690d-4475-a772-91da414749c0,OPP-75,Proposal,,2023-10-21
7a41c7f6-10c4-4a77-967d-1d3056947ccf,OPP-75,Negotiation,,2023-10-28
dcd1f720-428e-4b8f-80ba-2564e5d5902a,OPP-75,Closed Lost,Closed Lost,2023-11-04
54d96288-4832-4214-83ed-a7f23c0e1d5a,OPP-76,Discovery,,2023-10-27
