opportunity_id,account_id,owner_id,lead_source_id,amount,tcv,mrr,contract_months,stage,forecast_category,win_probability,created_date,close_date,renewal_date,is_won,is_closed
OPP-14,ACC-5001,AE-18,CMP-27,11663,34989.0,971.92,36,Closed Lost,Closed,0.0,2023-12-03,2023-12-27,,False,True
OPP-15,ACC-1817,AE-13,CMP-50,9575,9575.0,797.92,12,Closed Lost,Closed,0.0,2023-08-02,2023-09-06,,False,True
OPP-16,ACC-8510,AE-16,CMP-23,8753,17506.0,729.42,24,Closed Lost,Closed,0.0,2022-06-27,2022-07-05,,False,True
OPP-17,ACC-8811,AE-6,CMP-2,19125,19125.0,1593.75,12,Closed Won,Closed,1.0,2022-09-23,2022-10-29,2023-10-24,True,True
OPP-18,ACC-7986,AE-4,CMP-71,22555,22555.0,1879.58,12,Closed Lost,Closed,0.0,2023-10-28,2023-11-17,,False,True
OPP-19,ACC-8040,AE-11,CMP-3,203611,610833.0,16967.58,36,Negotiation,Best Case,0.6968532086142539,2023-03-19,,,False,False
OPP-20,ACC-898,AE-19,CMP-7,9775,29325.0,814.58,36,Closed Lost,Closed,0.0,2023-05-02,2023-06-05,,False,True
OPP-21,ACC-8787,AE-11,CMP-75,13432,40296.0,1119.33,36,Closed Lost,Closed,0.0,2023-11-06,2023-12-06,,False,True
OPP-22,ACC-8755,AE-10,CMP-97,17412,52236.0,1451.0,36,Proposal,Commit,0.3963806552149306,2022-11-01,,,False,False
OPP-23,ACC-1400,AE-4,CMP-18,9228,18456.0,769.0,24,Closed Lost,Closed,0.0,2023-06-24,2023-07-09,,False,True
OPP-24,ACC-3528,AE-2,CMP-75,61011,183033.0,5084.25,36,Demo,Commit,0.13470138842707924,2023-03-12,,,False,False
OPP-25,ACC-4750,AE-1,CMP-4,24469,73407.0,2039.08,36,Closed Lost,Closed,0.0,2023-05-01,2023-05-21,,False,True
OPP-26,ACC-2579,AE-5,CMP-13,20851,20851.0,1737.58,12,Proposal,Commit,0.5108918187059143,2023-06-14,,,False,False
OPP-27,ACC-2383,AE-10,CMP-15,19390,38780.0,1615.83,24,Closed Won,Closed,1.0,2022-08-13,2022-09-06,2024-08-26,True,True
OPP-28,ACC-7583,AE-2,CMP-14,11243,22486.0,936.92,24,Closed Lost,Closed,0.0,2023-10-11,2023-10-27,,False,True
OPP-29,ACC-8486,AE-4,CMP-23,7095,7095.0,591.25,12,Closed Lost,Closed,0.0,2022-12-10,2023-01-10,,False,True
OPP-30,ACC-8710,AE-1,CMP-33,11208,11208.0,934.0,12,Closed Won,Closed,1.0,2023-11-12,2023-12-02,2024-11-26,True,True
OPP-31,ACC-7000,AE-13,CMP-91,15404,46212.0,1283.67,36,Closed Lost,Closed,0.0,2022-09-25,2022-11-09,,False,True
OPP-32,ACC-1929,AE-16,CMP-27,12229,12229.0,1019.08,12,Closed Won,Closed,1.0,2023-10-26,2023-11-10,2024-11-04,True,True
OPP-33,ACC-4724,AE-4,CMP-55,24238,48476.0,2019.83,24,Discovery,Upside,0.43064438100129154,2023-12-09,,,False,False
OPP-34,ACC-9063,AE-4,CMP-96,20303,20303.0,1691.92,12,Closed Won,Closed,1.0,2024-01-05,,,True,True
OPP-35,ACC-238,AE-12,CMP-74,19013,57039.0,1584.42,36,Discovery,Pipeline,0.6353658377044686,2023-01-25,,,False,False
OPP-36,ACC-6219,AE-19,CMP-67,8217,16434.0,684.75,24,Closed Lost,Closed,0.0,2023-09-07,2023-09-23,,False,True
OPP-37,ACC-9170,AE-11,CMP-5,11358,22716.0,946.5,24,Closed Lost,Closed,0.0,2023-12-16,,,False,True
OPP-38,ACC-3966,AE-11,CMP-78,20796,20796.0,1733.0,12,Proposal,Commit,0.330436209292661,2023-10-10,,,False,False
OPP-39,ACC-5465,AE-11,CMP-69,13774,13774.0,1147.83,12,Closed Won,Closed,1.0,2023-06-16,2023-07-08,2024-07-02,True,True
OPP-40,ACC-4670,AE-1,CMP-72,18721,37442.0,1560.08,24,Demo,Upside,0.26070451973368675,2023-03-23,,,False,False
OPP-41,ACC-6765,AE-8,CMP-53,178915,536745.0,14909.58,36,Closed Lost,Closed,0.0,2023-12-09,,,False,True
OPP-42,ACC-4613,AE-11,CMP-6,16996,33992.0,1416.33,24,Negotiation,Best Case,0.6653464580412288,2023-10-16,,,False,False
OPP-43,ACC-6357,AE-16,CMP-27,22337,67011.0,1861.42,36,Closed Won,Closed,1.0,2023-12-24,,,True,True
OPP-44,ACC-2832,AE-9,CMP-35,21063,42126.0,1755.25,24,Proposal,Upside,0.16669970639055337,2023-06-13,,,False,False
OPP-45,ACC-617,AE-11,CMP-6,22290,44580.0,1857.5,24,Closed Won,Closed,1.0,2023-12-07,,,True,True
OPP-46,ACC-9870,AE-17,CMP-0,16027,32054.0,1335.58,24,Closed Won,Closed,1.0,2022-06-03,2022-06-22,2024-06-11,True,True
OPP-47,ACC-8361,AE-11,CMP-46,10360,20720.0,863.33,24,Closed Lost,Closed,0.0,2023-10-04,2023-10-23,,False,True
OPP-48,ACC-899,AE-0,CMP-58,21800,65400.0,1816.67,36,Negotiation,Upside,0.25847106017444327,2023-05-11,,,False,False
OPP-49,ACC-985,AE-19,CMP-67,14946,44838.0,1245.5,36,Closed Lost,Closed,0.0,2023-04-20,2023-05-28,,False,True
OPP-50,ACC-7643,AE-10,CMP-86,9725,29175.0,810.42,36,Closed Won,Closed,1.0,2023-12-02,2023-12-14,2026-11-28,True,True
OPP-51,ACC-3640,AE-8,CMP-94,13461,40383.0,1121.75,36,Closed Lost,Closed,0.0,2022-10-06,2022-10-28,,False,True
OPP-52,ACC-3050,AE-3,CMP-29,18297,54891.0,1524.75,36,Closed Won,Closed,1.0,2023-06-28,2023-07-15,2026-06-29,True,True
OPP-53,ACC-7204,AE-3,CMP-5,239574,718722.0,19964.5,36,Discovery,Pipeline,0.4586961678496061,2023-11-29,,,False,False
OPP-54,ACC-882,AE-8,CMP-95,15897,47691.0,1324.75,36,Closed Lost,Closed,0.0,2023-07-01,2023-07-31,,False,True
OPP-55,ACC-1609,AE-7,CMP-83,9319,9319.0,776.58,12,Closed Lost,Closed,0.0,2023-07-17,2023-08-15,,False,True
OPP-56,ACC-9306,AE-19,CMP-60,17792,17792.0,1482.67,12,Closed Lost,Closed,0.0,2023-07-21,2023-08-12,,False,True
OPP-57,ACC-3270,AE-2,CMP-31,14444,14444.0,1203.67,12,Closed Lost,Closed,0.0,2023-12-01,2023-12-21,,False,True
OPP-58,ACC-3269,AE-6,CMP-42,15471,15471.0,1289.25,12,Closed Lost,Closed,0.0,2023-09-07,2023-09-28,,False,True
OPP-59,ACC-3663,AE-0,CMP-57,10914,21828.0,909.5,24,Closed Lost,Closed,0.0,2022-11-25,2022-12-16,,False,True
OPP-60,ACC-6384,AE-9,CMP-98,23856,71568.0,1988.0,36,Closed Lost,Closed,0.0,2024-01-04,,,False,True
OPP-61,ACC-3937,AE-18,CMP-48,11751,11751.0,979.25,12,Discovery,Commit,0.14131010308029068,2023-11-12,,,False,False
OPP-62,ACC-4501,AE-6,CMP-28,13422,13422.0,1118.5,12,Discovery,Best Case,0.6564415187496663,2023-12-05,,,False,False
OPP-63,ACC-2502,AE-1,CMP-11,19239,57717.0,1603.25,36,Closed Lost,Closed,0.0,2023-02-19,2023-03-04,,False,True
OPP-64,ACC-2471,AE-19,CMP-97,168113,336226.0,14009.42,24,Closed Lost,Closed,0.0,2023-02-23,2023-06-30,,False,True
OPP-65,ACC-4039,AE-10,CMP-32,9334,18668.0,777.83,24,Closed Lost,Closed,0.0,2023-02-28,2023-03-19,,False,True
OPP-66,ACC-2059,AE-16,CMP-30,17763,53289.0,1480.25,36,Closed Won,Closed,1.0,2024-01-09,,,True,True
OPP-67,ACC-5990,AE-12,CMP-5,23071,23071.0,1922.58,12,Closed Won,Closed,1.0,2023-12-27,,,True,True
OPP-68,ACC-714,AE-1,CMP-47,12555,25110.0,1046.25,24,Closed Lost,Closed,0.0,2023-12-09,,,False,True
OPP-69,ACC-3168,AE-9,CMP-20,6089,6089.0,507.42,12,Closed Won,Closed,1.0,2023-10-08,2023-11-01,2024-10-26,True,True
OPP-70,ACC-5555,AE-19,CMP-60,18167,36334.0,1513.92,24,Demo,Commit,0.38891769824569433,2023-07-08,,,False,False
OPP-71,ACC-1945,AE-12,CMP-35,24984,24984.0,2082.0,12,Closed Won,Closed,1.0,2022-12-11,2023-01-07,2024-01-02,True,True
OPP-72,ACC-2009,AE-14,CMP-30,16443,49329.0,1370.25,36,Demo,Upside,0.7781530048208359,2023-09-19,,,False,False
OPP-73,ACC-8921,AE-14,CMP-10,8848,8848.0,737.33,12,Closed Won,Closed,1.0,2023-01-06,2023-01-20,2024-01-15,True,True
OPP-74,ACC-5963,AE-2,CMP-33,23092,69276.0,1924.33,36,Demo,Commit,0.5401065558531536,2022-11-27,,,False,False
OPP-75,ACC-5478,AE-5,CMP-61,19594,58782.0,1632.83,36,Closed Lost,Closed,0.0,2023-10-11,2023-11-04,,False,True
OPP-76,ACC-3243,AE-15,CMP-14,23953,71859.0,1996.08,36,Closed Lost,Closed,0.0,2023-10-27,2023-11-10,,False,True
OPP-77,ACC-739,AE-1,CMP-88,10730,32190.0,894.17,36,Closed Won,Closed,1.0,2023-12-23,,,True,True
OPP-78,ACC-6456,AE-17,CMP-40,18908,18908.0,1575.67,12,Closed Won,Closed,1.0,2022-06-06,2022-07-01,2023-06-26,True,True
OPP-79,ACC-3485,AE-15,CMP-1,13574,40722.0,1131.17,36,Demo,Commit,0.6498756040905378,2022-10-03,,,False,False
OPP-80,ACC-3754,AE-17,CMP-31,18977,37954.0,1581.42,24,Proposal,Best Case,0.6957982127622617,2023-06-15,,,False,False
OPP-81,ACC-6984,AE-2,CMP-91,15259,30518.0,1271.58,24,Closed Lost,Closed,0.0,2022-12-27,2023-01-23,,False,True
OPP-82,ACC-4769,AE-17,CMP-83,11123,11123.0,926.92,12,Closed Lost,Closed,0.0,2023-12-05,2023-12-23,,False,True
OPP-83,ACC-4230,AE-2,CMP-75,16731,33462.0,1394.25,24,Closed Lost,Closed,0.0,2023-06-30,2023-07-11,,False,True
OPP-84,ACC-8202,AE-7,CMP-68,238268,476536.0,19855.67,24,Closed Lost,Closed,0.0,2023-04-12,2023-06-30,,False,True
OPP-85,ACC-1882,AE-8,CMP-46,14740,29480.0,1228.33,24,Discovery,Commit,0.2362659368259804,2023-08-03,,,False,False
OPP-86,ACC-6749,AE-0,CMP-22,19406,19406.0,1617.17,12,Closed Lost,Closed,0.0,2023-12-18,,,False,True
OPP-87,ACC-5306,AE-3,CMP-14,8256,8256.0,688.0,12,Closed Lost,Closed,0.0,2023-10-30,2023-11-27,,False,True
OPP-88,ACC-1693,AE-12,CMP-4,15389,30778.0,1282.42,24,Closed Lost,Closed,0.0,2022-07-31,2022-08-13,,False,True
OPP-89,ACC-5590,AE-7,CMP-30,22175,22175.0,1847.92,12,Closed Lost,Closed,0.0,2023-10-13,2023-11-14,,False,True
OPP-90,ACC-3987,AE-1,CMP-46,23345,46690.0,1945.42,24,Discovery,Pipeline,0.2407666236769274,2022-08-17,,,False,False
OPP-91,ACC-3129,AE-8,CMP-92,20407,61221.0,1700.58,36,Closed Won,Closed,1.0,2023-06-25,2023-07-18,2026-07-02,True,True
OPP-92,ACC-4420,AE-4,CMP-31,16729,33458.0,1394.08,24,Negotiation,Pipeline,0.15068757646318628,2023-11-24,,,False,False
OPP-93,ACC-1342,AE-3,CMP-48,18138,54414.0,1511.5,36,Closed Won,Closed,1.0,2023-09-15,2023-09-27,2026-09-11,True,True
OPP-94,ACC-4621,AE-0,CMP-48,11030,22060.0,919.17,24,Closed Lost,Closed,0.0,2023-11-12,2023-11-29,,False,True
OPP-95,ACC-7213,AE-4,CMP-52,23292,69876.0,1941.0,36,Closed Lost,Closed,0.0,2023-12-26,,,False,True
OPP-96,ACC-561,AE-15,CMP-34,22892,22892.0,1907.67,12,Closed Lost,Closed,0.0,2023-06-18,2023-07-15,,False,True
OPP-97,ACC-247,AE-1,CMP-69,167707,167707.0,13975.58,12,Negotiation,Upside,0.564877202065221,2023-12-01,,,False,False
OPP-98,ACC-9861,AE-3,CMP-13,11347,11347.0,945.58,12,Closed Lost,Closed,0.0,2023-10-17,2023-10-24,,False,True
OPP-99,ACC-5833,AE-4,CMP-70,10165,20330.0,847.08,24,Closed Won,Closed,1.0,2023-11-29,2023-12-14,2025-12-03,True,True
OPP-100,ACC-2684,AE-13,CMP-21,11501,34503.0,958.42,36,Closed Lost,Closed,0.0,2023-11-15,2023-11-29,,False,True
OPP-101,ACC-1449,AE-15,CMP-68,17320,34640.0,1443.33,24,Proposal,Best Case,0.35686708810901313,2023-01-20,,,False,False
OPP-102,ACC-8081,AE-4,CMP-14,16595,33190.0,1382.92,24,Demo,Commit,0.5913720667311387,2023-10-15,,,False,False
OPP-103,ACC-9485,AE-5,CMP-26,24137,72411.0,2011.42,36,Discovery,Best Case,0.5630479698716474,2023-03-12,,,False,False
OPP-104,ACC-1338,AE-9,CMP-61,22058,66174.0,1838.17,36,Closed Lost,Closed,0.0,2023-05-12,2023-05-29,,False,True
OPP-105,ACC-351,AE-4,CMP-81,9624,28872.0,802.0,36,Closed Lost,Closed,0.0,2024-01-03,,,False,True
OPP-106,ACC-9829,AE-1,CMP-88,9130,27390.0,760.83,36,Closed Lost,Closed,0.0,2022-10-30,2022-11-23,,False,True
OPP-107,ACC-6095,AE-5,CMP-80,10138,20276.0,844.83,24,Closed Lost,Closed,0.0,2023-06-27,2023-07-09,,False,True
OPP-108,ACC-4306,AE-13,CMP-87,16450,49350.0,1370.83,36,Closed Lost,Closed,0.0,2023-11-15,2023-11-29,,False,True
OPP-109,ACC-8409,AE-2,CMP-43,17670,35340.0,1472.5,24,Closed Lost,Closed,0.0,2023-09-19,2023-10-27,,False,True
OPP-110,ACC-8782,AE-17,CMP-38,23183,69549.0,1931.92,36,Closed Lost,Closed,0.0,2023-10-14,2023-11-04,,False,True
OPP-111,ACC-173,AE-17,CMP-63,24854,74562.0,2071.17,36,Closed Won,Closed,1.0,2024-01-11,,,True,True
OPP-112,ACC-5703,AE-15,CMP-18,14359,28718.0,1196.58,24,Closed Lost,Closed,0.0,2022-09-18,2022-10-09,,False,True
OPP-113,ACC-6732,AE-18,CMP-0,106326,212652.0,8860.5,24,Discovery,Pipeline,0.5651589343786422,2023-04-14,,,False,False
OPP-114,ACC-4791,AE-0,CMP-99,180233,180233.0,15019.42,12,Closed Lost,Closed,0.0,2023-08-30,2023-10-14,,False,True
OPP-115,ACC-8801,AE-10,CMP-39,10735,10735.0,894.58,12,Closed Lost,Closed,0.0,2023-08-17,2023-09-18,,False,True
OPP-116,ACC-6289,AE-1,CMP-64,10308,10308.0,859.0,12,Closed Won,Closed,1.0,2023-11-15,2023-11-29,2024-11-23,True,True
OPP-117,ACC-1679,AE-0,CMP-31,5405,16215.0,450.42,36,Closed Won,Closed,1.0,2023-07-27,2023-09-01,2026-08-16,True,True
OPP-118,ACC-29,AE-3,CMP-14,24891,24891.0,2074.25,12,Negotiation,Commit,0.4444459412963929,2023-04-28,,,False,False
OPP-119,ACC-6073,AE-6,CMP-47,24955,24955.0,2079.58,12,Closed Lost,Closed,0.0,2023-12-29,,,False,True
OPP-120,ACC-7499,AE-7,CMP-85,7133,14266.0,594.42,24,Demo,Best Case,0.7461532060802786,2023-07-27,,,False,False
OPP-121,ACC-532,AE-10,CMP-29,124895,249790.0,10407.92,24,Negotiation,Pipeline,0.2479370093205421,2023-11-10,,,False,False
OPP-122,ACC-6686,AE-19,CMP-64,14110,28220.0,1175.83,24,Closed Lost,Closed,0.0,2023-03-21,2023-05-07,,False,True
OPP-123,ACC-2665,AE-12,CMP-95,10927,10927.0,910.58,12,Discovery,Upside,0.7110233232720772,2023-10-15,,,False,False
OPP-124,ACC-8904,AE-1,CMP-36,22914,68742.0,1909.5,36,Closed Won,Closed,1.0,2023-12-09,2023-12-29,2026-12-13,True,True
OPP-125,ACC-1642,AE-8,CMP-54,23224,23224.0,1935.33,12,Proposal,Upside,0.43330420696890803,2023-10-20,,,False,False
OPP-126,ACC-3772,AE-7,CMP-42,21877,43754.0,1823.08,24,Closed Lost,Closed,0.0,2024-01-03,,,False,True
OPP-127,ACC-1494,AE-10,CMP-25,23214,23214.0,1934.5,12,Closed Lost,Closed,0.0,2023-01-19,2023-02-04,,False,True
OPP-128,ACC-3703,AE-3,CMP-22,21379,21379.0,1781.58,12,Closed Lost,Closed,0.0,2024-01-01,,,False,True
OPP-129,ACC-4663,AE-6,CMP-94,23275,46550.0,1939.58,24,Closed Lost,Closed,0.0,2022-11-18,2022-12-01,,False,True
OPP-130,ACC-2097,AE-12,CMP-50,21124,63372.0,1760.33,36,Closed Lost,Closed,0.0,2023-08-14,2023-09-01,,False,True
OPP-131,ACC-4122,AE-18,CMP-15,24182,48364.0,2015.17,24,Discovery,Commit,0.5950918155357565,2023-05-09,,,False,False
OPP-132,ACC-6264,AE-18,CMP-53,14063,28126.0,1171.92,24,Closed Lost,Closed,0.0,2023-04-07,2023-05-14,,False,True
OPP-133,ACC-576,AE-16,CMP-68,19264,57792.0,1605.33,36,Closed Won,Closed,1.0,2022-09-09,2022-10-03,2025-09-17,True,True
OPP-134,ACC-2188,AE-5,CMP-87,9202,9202.0,766.83,12,Demo,Upside,0.37237749085856264,2023-05-21,,,False,False
OPP-135,ACC-5797,AE-0,CMP-78,101081,202162.0,8423.42,24,Closed Lost,Closed,0.0,2023-11-04,,,False,True
OPP-136,ACC-2942,AE-7,CMP-64,8799,26397.0,733.25,36,Proposal,Best Case,0.44077991210100576,2023-03-12,,,False,False
OPP-137,ACC-7030,AE-7,CMP-61,12230,36690.0,1019.17,36,Proposal,Upside,0.6035775866553363,2023-02-25,,,False,False
OPP-138,ACC-7442,AE-15,CMP-93,23019,46038.0,1918.25,24,Closed Won,Closed,1.0,2024-01-05,,,True,True
OPP-139,ACC-3299,AE-1,CMP-97,9944,19888.0,828.67,24,Closed Won,Closed,1.0,2023-07-23,2023-08-17,2025-08-06,True,True
OPP-140,ACC-3402,AE-12,CMP-74,137273,137273.0,11439.42,12,Proposal,Pipeline,0.14721406793431022,2023-04-26,,,False,False
OPP-141,ACC-5224,AE-10,CMP-98,9380,9380.0,781.67,12,Closed Lost,Closed,0.0,2023-07-09,2023-07-20,,False,True
OPP-142,ACC-6620,AE-3,CMP-24,9906,9906.0,825.5,12,Closed Won,Closed,1.0,2023-12-12,2023-12-27,2024-12-21,True,True
OPP-143,ACC-6996,AE-2,CMP-46,21793,21793.0,1816.08,12,Closed Won,Closed,1.0,2023-10-21,2023-11-06,2024-10-31,True,True
OPP-144,ACC-3069,AE-0,CMP-69,20356,61068.0,1696.33,36,Discovery,Pipeline,0.3148507617515216,2023-06-28,,,False,False
OPP-145,ACC-7945,AE-6,CMP-63,16050,48150.0,1337.5,36,Closed Won,Closed,1.0,2023-09-06,2023-09-18,2026-09-02,True,True
OPP-146,ACC-154,AE-5,CMP-10,82292,246876.0,6857.67,36,Closed Lost,Closed,0.0,2022-12-20,2023-02-19,,False,True
OPP-147,ACC-8938,AE-7,CMP-25,24516,73548.0,2043.0,36,Closed Lost,Closed,0.0,2023-01-12,2023-02-22,,False,True
OPP-148,ACC-8424,AE-1,CMP-45,15891,15891.0,1324.25,12,Closed Won,Closed,1.0,2023-10-19,2023-10-27,2024-10-21,True,True
OPP-149,ACC-8775,AE-12,CMP-45,17605,17605.0,1467.08,12,Closed Lost,Closed,0.0,2023-10-08,2023-10-25,,False,True
OPP-150,ACC-7762,AE-4,CMP-84,16167,16167.0,1347.25,12,Discovery,Commit,0.7099118871026192,2023-09-28,,,False,False
OPP-151,ACC-9344,AE-1,CMP-15,21157,42314.0,1763.08,24,Closed Lost,Closed,0.0,2022-12-08,2023-01-13,,False,True
OPP-152,ACC-5255,AE-6,CMP-45,13657,27314.0,1138.08,24,Closed Won,Closed,1.0,2023-12-27,,,True,True
OPP-153,ACC-9039,AE-19,CMP-16,23184,23184.0,1932.0,12,Closed Won,Closed,1.0,2023-12-24,,,True,True
OPP-154,ACC-3606,AE-5,CMP-8,12752,38256.0,1062.67,36,Closed Lost,Closed,0.0,2023-12-23,,,False,True
OPP-155,ACC-7114,AE-5,CMP-50,22467,67401.0,1872.25,36,Closed Lost,Closed,0.0,2023-10-23,2023-11-08,,False,True
OPP-156,ACC-6007,AE-14,CMP-53,16123,16123.0,1343.58,12,Closed Lost,Closed,0.0,2023-01-01,2023-02-12,,False,True
OPP-157,ACC-6872,AE-5,CMP-4,11083,33249.0,923.58,36,Closed Lost,Closed,0.0,2023-02-20,2023-03-31,,False,True
OPP-158,ACC-7010,AE-2,CMP-45,12826,25652.0,1068.83,24,Closed Won,Closed,1.0,2024-01-11,,,True,True
OPP-159,ACC-7715,AE-19,CMP-4,63937,127874.0,5328.08,24,Discovery,Commit,0.7884158345599431,2022-11-09,,,False,False
OPP-160,ACC-8414,AE-12,CMP-31,19172,38344.0,1597.67,24,Discovery,Upside,0.5516648342347525,2023-11-07,,,False,False
OPP-161,ACC-2347,AE-5,CMP-67,20808,41616.0,1734.0,24,Closed Lost,Closed,0.0,2023-04-30,2023-06-02,,False,True
OPP-162,ACC-438,AE-7,CMP-36,16157,16157.0,1346.42,12,Discovery,Best Case,0.23059337994814352,2023-08-14,,,False,False
OPP-163,ACC-7508,AE-11,CMP-53,13132,26264.0,1094.33,24,Closed Won,Closed,1.0,2022-08-30,2022-09-28,2024-09-17,True,True
OPP-164,ACC-621,AE-16,CMP-11,23083,46166.0,1923.58,24,Closed Won,Closed,1.0,2022-10-13,2022-11-11,2024-10-31,True,True
OPP-165,ACC-6060,AE-11,CMP-37,10593,10593.0,882.75,12,Closed Lost,Closed,0.0,2023-05-08,2023-06-03,,False,True
OPP-166,ACC-3516,AE-14,CMP-60,24142,72426.0,2011.83,36,Proposal,Upside,0.5914345646796396,2023-11-02,,,False,False
OPP-167,ACC-4000,AE-2,CMP-9,7853,15706.0,654.42,24,Proposal,Best Case,0.37998267337116653,2023-12-27,,,False,False
OPP-168,ACC-9656,AE-7,CMP-88,154481,154481.0,12873.42,12,Negotiation,Pipeline,0.11384303214979967,2022-11-25,,,False,False
OPP-169,ACC-1810,AE-18,CMP-28,18473,55419.0,1539.42,36,Closed Won,Closed,1.0,2023-05-18,2023-06-04,2026-05-19,True,True
OPP-170,ACC-8602,AE-18,CMP-52,8856,8856.0,738.0,12,Negotiation,Pipeline,0.6471194632438542,2023-09-25,,,False,False
OPP-171,ACC-8508,AE-12,CMP-9,230377,460754.0,19198.08,24,Closed Lost,Closed,0.0,2022-08-29,2022-10-26,,False,True
OPP-172,ACC-8762,AE-11,CMP-34,5551,16653.0,462.58,36,Negotiation,Best Case,0.12335276838873212,2023-07-08,,,False,False
OPP-173,ACC-1313,AE-8,CMP-67,15264,15264.0,1272.0,12,Demo,Upside,0.45393740636944435,2023-12-26,,,False,False
OPP-174,ACC-42,AE-11,CMP-54,5682,5682.0,473.5,12,Closed Won,Closed,1.0,2023-11-06,2023-12-02,2024-11-26,True,True
OPP-175,ACC-8378,AE-1,CMP-58,20583,41166.0,1715.25,24,Closed Lost,Closed,0.0,2022-11-23,2022-12-12,,False,True
OPP-176,ACC-5431,AE-6,CMP-28,9041,18082.0,753.42,24,Closed Won,Closed,1.0,2023-08-15,2023-08-27,2025-08-16,True,True
OPP-177,ACC-6495,AE-6,CMP-93,5995,17985.0,499.58,36,Closed Lost,Closed,0.0,2023-11-08,2023-11-21,,False,True
OPP-178,ACC-4111,AE-19,CMP-55,24800,24800.0,2066.67,12,Closed Lost,Closed,0.0,2023-06-27,2023-07-24,,False,True
OPP-179,ACC-5504,AE-10,CMP-73,11037,22074.0,919.75,24,Closed Won,Closed,1.0,2024-01-02,,,True,True
OPP-180,ACC-3546,AE-10,CMP-10,23539,47078.0,1961.58,24,Proposal,Pipeline,0.20044476258337707,2023-12-19,,,False,False
OPP-181,ACC-151,AE-8,CMP-75,15588,31176.0,1299.0,24,Closed Won,Closed,1.0,2023-12-26,,,True,True
OPP-182,ACC-6500,AE-19,CMP-81,17941,53823.0,1495.08,36,Proposal,Best Case,0.7259962680574633,2023-10-14,,,False,False
OPP-183,ACC-9847,AE-3,CMP-42,20196,20196.0,1683.0,12,Demo,Commit,0.7352829343477698,2023-11-05,,,False,False
OPP-184,ACC-1518,AE-18,CMP-91,5118,10236.0,426.5,24,Closed Won,Closed,1.0,2022-08-09,2022-08-19,2024-08-08,True,True
OPP-185,ACC-6005,AE-12,CMP-95,159952,159952.0,13329.33,12,Closed Won,Closed,1.0,2022-09-28,2022-12-12,2023-12-07,True,True
OPP-186,ACC-6555,AE-1,CMP-26,9773,29319.0,814.42,36,Proposal,Commit,0.1932576348038598,2022-10-02,,,False,False
OPP-187,ACC-5111,AE-6,CMP-15,19422,38844.0,1618.5,24,Closed Lost,Closed,0.0,2023-09-19,2023-10-04,,False,True
OPP-188,ACC-5148,AE-14,CMP-50,19524,39048.0,1627.0,24,Closed Lost,Closed,0.0,2023-08-25,2023-09-15,,False,True
OPP-189,ACC-1718,AE-5,CMP-50,106716,320148.0,8893.0,36,Demo,Upside,0.7097749610694872,2023-08-29,,,False,False
OPP-190,ACC-9222,AE-13,CMP-29,6214,6214.0,517.83,12,Closed Lost,Closed,0.0,2023-12-18,,,False,True
OPP-191,ACC-9948,AE-7,CMP-16,14541,29082.0,1211.75,24,Closed Won,Closed,1.0,2023-10-10,2023-11-06,2025-10-26,True,True
